EQR_RICH,AFR_RICH,V_FUEL,MASSFLOW_FUEL,V_AIR,MASSFLOW_AIR_P,J
1.247234,4.848898,61.0,5e-06,40.0,2.2e-05,2.74566
1.246261,4.852686,64.0,5e-06,42.0,2.3e-05,2.741375
1.245376,4.856135,67.0,5e-06,44.0,2.4e-05,2.737483
1.244567,4.859288,70.0,5e-06,46.0,2.5e-05,2.733931
1.243827,4.862183,73.0,5e-06,48.0,2.6e-05,2.730677
1.243145,4.864848,76.0,6e-06,50.0,2.7e-05,2.727685
1.242516,4.867311,79.0,6e-06,52.0,2.9e-05,2.724925
1.249935,4.838422,81.0,6e-06,53.0,2.9e-05,2.757563
1.241933,4.869594,82.0,6e-06,54.0,3e-05,2.722371
1.249093,4.841682,84.0,6e-06,55.0,3e-05,2.75385
1.241392,4.871716,85.0,6e-06,56.0,3.1e-05,2.72
1.24831,4.844718,87.0,6e-06,57.0,3.1e-05,2.7504
1.240889,4.873693,88.0,7e-06,58.0,3.2e-05,2.717794
1.247581,4.847551,90.0,7e-06,59.0,3.2e-05,2.747186
1.240419,4.87554,91.0,7e-06,60.0,3.3e-05,2.715735
1.246899,4.850201,93.0,7e-06,61.0,3.3e-05,2.744185
1.246261,4.852686,96.0,7e-06,63.0,3.5e-05,2.741375
1.245662,4.85502,99.0,7e-06,65.0,3.6e-05,2.73874
1.245098,4.857217,102.0,8e-06,67.0,3.7e-05,2.736263
1.244567,4.859288,105.0,8e-06,69.0,3.8e-05,2.733931
1.244067,4.861245,108.0,8e-06,71.0,3.9e-05,2.731731
1.249506,4.840082,110.0,8e-06,72.0,3.9e-05,2.755672
